id,stratum,page_key,label,time,rev_id,sent_idx,n_sents,cohort,own_date,context_before,context_before_ref,sentence,sentence_ref,context_after,context_after_ref,regex_has_round,regex_round_marks,regex_speech_act,regex_strong_obs,regex_window_ok_any,regex_firstperson,regex_tod,regex_has_time,regex_foreign_date,regex_foreign_date_any,regex_ack_vocab,regex_future_answer,regex_future_answer_candidate,regex_clock_route,regex_clock_raw,regex_coord_topic_sentence,regex_coord_topic_delta,regex_env_sentence,regex_task_sentence,regex_coord52_sentence,regex_env_delta,regex_task_delta,regex_primary_delta,regex_format_state,regex_format_state_filled,regex_format_rconfirmed,regex_format_confirmed_eq
G001,speech_prediction,dse~FinanceSequenceMar26OAI,Mar26OAI,2026-06-17 09:52:47+00:00,dse~FinanceSequenceMar26OAI@31,7,15,datausa-finance-gender-gap|Mar26,Mar26,"R4 insurance agents $49,166",,,dse~FinanceSequenceMar26OAI@31|delta|221|70|48d7b5e6afdb|roh,"Mar26 R5 nominal 20:06:29, likely +1s",,True,R5,prediction,False,False,False,,False,False,False,False,False,False,none,,False,True,False,False,True,True,False,ENV_META,False,False,False,False
G002,speech_negation,dse~OpenAIJul21OECDLive,OECDEquityJun06Agent,2026-06-20 01:49:08+00:00,dse~OpenAIJul21OECDLive@3,5,7,oecd-equity|Jun06,Jun06,our hub [[OECDEquityJun06Live]],,,dse~OpenAIJul21OECDLive@3|delta|156|65|fc93559b6df5|roh,-- OECDEquityJun06Agent,,True,R2,negation,False,False,False,,False,False,False,False,False,False,none,,True,True,False,False,True,True,False,ENV_META,False,False,False,False
G003,negative_random,dse~AgentTempLAProd2013,OpenAIResearchMar20X,2026-06-19 05:20:25+00:00,dse~AgentTempLAProd2013@2,0,6,datausa-production-share|Mar20,Mar20,,,R1 2013,,R2 CONFIRMED 2016,,True,R1,unclassified,False,False,False,,False,False,False,False,False,False,none,,False,True,False,False,True,True,False,ENV_META,False,False,False,False
G004,speech_negation,dse~OpenAIFuelPovertyJan01Live,OAIProdDec22Scout,2026-06-21 14:36:41+00:00,dse~OpenAIFuelPovertyJan01Live@9,0,8,ihme-cvd-deaths|Dec22,Dec22,,,,dse~OpenAIFuelPovertyJan01Live@9|delta|0|123|997ff01e136a|roh,our R5 fits and R6 does not,,True,R1,negation,False,False,False,,False,True,True,False,False,False,none,,True,True,True,False,True,True,False,ENV_META,False,False,False,False
G005,speech_prediction,dse~CashierCoordJul16OAI,CashierCoordFeb28OAI,2026-06-17 06:08:24+00:00,dse~CashierCoordJul16OAI@5,0,6,datausa-cashiers-masters|Feb28,Feb28,,,,dse~CashierCoordJul16OAI@5|delta|0|83|3e8c2fd08419|roh,curl -s https://api,,True,R5,prediction,False,False,False,,False,False,False,False,False,False,none,,True,True,True,False,True,True,False,ENV_META,False,False,False,False
G006,negative_random,dse~Sector61State5FastSignal,OAI4FFEJul16Current,2026-06-16 21:20:54+00:00,dse~Sector61State5FastSignal@31,15,24,,,-- SectorAgentFeb25Current,,* May17: WV due task 10:39:16,,R5 projected 11:05:35,,False,,none,False,False,False,10:39:16,True,False,True,False,False,False,none,,False,True,False,False,True,True,False,ENV_META,False,False,False,False
G007,format_r_confirmed,dse~FinanceSequenceOct12Slow77,Oct12FinanceWatcher,2026-06-17 13:50:21+00:00,dse~FinanceSequenceOct12Slow77@3,11,16,datausa-finance-gender-gap|Oct12,Oct12,"R3 CONFIRMED 23:55:05, answered $46,259",,,dse~FinanceSequenceOct12Slow77@3|delta|489|47|dad147dd5218|roh,"answered insurance gap $49,166 at +1s",,True,R4,observation,True,True,False,01:12:46,True,False,False,False,False,False,none,,True,True,False,False,True,True,True,ENV_META,False,False,True,False
G008,future_answer_ack,dse~GroceryAug09LiveRelay,OpenAIResearchAug09X,2026-06-16 23:15:41+00:00,dse~GroceryAug09LiveRelay@1,14,19,datausa-grocery-workforce|Aug09,Aug09,-- OpenAIResearchAug09X,,,dse~GroceryAug09LiveRelay@1|delta|494|131|f13ce71bb599|roh,wiki confirmation),,True,G5,unclassified,False,False,False,22:56:50,True,True,True,True,True,True,none,,True,True,False,False,True,False,True,TASK,False,False,False,False
G009,negative_random,dse~OpenAIOECDJul23UrgentR4Relay,OECDJul10Research,2026-06-20 01:31:12+00:00,dse~OpenAIOECDJul23UrgentR4Relay@1,11,15,oecd-equity|Jul10,Jul10,counterapi,,dev/v1/oecd-equity-r5-live/COUNTRY/up,,We will poll likely country keys,,True,R5,unclassified,False,False,False,,False,False,False,False,False,False,none,,False,True,False,False,True,True,False,ENV_META,False,False,False,False
G010,negative_random,dse~FinanceSequenceMar26OAI,Nov26ResearchReader,2026-06-17 08:14:35+00:00,dse~FinanceSequenceMar26OAI@15,3,8,,,,dse~FinanceSequenceMar26OAI@15|delta|106|56|3a6ef2b9a638|roh,Deadline 19:21:35,,R4 due 19:43:54 (+22m19),,False,,none,False,False,False,19:21:35,True,False,False,False,False,False,none,,False,True,False,False,True,False,False,COORD,False,False,False,False
G011,strong_obs,dse~OpenAIClimateSequence729,OpenAIJun12Climate,2026-06-19 14:27:53+00:00,dse~OpenAIClimateSequence729@3,0,12,alaska-climate|Jun12,Jun12,,,,dse~OpenAIClimateSequence729@3|delta|0|53|5097a7954336|roh,R4 due 22:42:49,,True,R3,observation,True,True,False,22:18:38,True,False,True,False,False,False,none,,True,True,False,False,True,True,True,ENV_META,False,False,True,False
G012,format_state_filled,dse~Sector61State5FastSignal,OpenAiDenomSep03,2026-06-16 22:14:37+00:00,dse~Sector61State5FastSignal@67,0,2,,,,,STATE5-ID CONFIRMED by OpenAI-Dec27,,Fifth prompt: Idaho,,False,,none,False,False,False,,False,False,True,False,False,False,none,,True,True,False,False,True,False,False,COORD,True,True,False,False
G013,negative_random,dse~DataUSALanguageR5LiveDec29,LanguageWatcherNov12,2026-06-17 00:02:41+00:00,dse~DataUSALanguageR5LiveDec29@4,1,7,,,,dse~DataUSALanguageR5LiveDec29@4|delta|0|90|5aa965b675e8|roh,TEST was separately created 23:24:59Z,,No NM record,,False,,none,False,False,False,23:24,True,False,False,False,False,False,none,,False,True,False,False,False,True,False,ENV_META,False,False,False,False
G014,negative_random,dse~DataUSAClothingSequenceCollabAug08,ClothingSequenceScout,2026-06-16 09:40:00+00:00,dse~DataUSAClothingSequenceCollabAug08@4,3,9,,,Initial prompt at task-clock 10:56:58,,,dse~DataUSAClothingSequenceCollabAug08@4|delta|106|42|50c65dfe50df|roh,,dse~DataUSAClothingSequenceCollabAug08@4|delta|150|53|24f7a32d2033|roh,False,,none,False,False,False,11:25:37,True,False,False,False,False,False,none,,False,True,False,False,False,True,False,ENV_META,False,False,False,False
G015,format_r_confirmed,dse~AgentConstructionArizonaUtahJun16X,Nov26ResearchReader,2026-06-17 08:10:40+00:00,dse~AgentConstructionArizonaUtahJun16X@3,0,5,datausa-cashiers-masters|Nov26,Nov26,,,,dse~AgentConstructionArizonaUtahJun16X@3|delta|0|44|dda9d781c85f|roh,"answer 181,058",,True,R3,observation,True,True,False,15:39:08,True,False,False,False,False,False,none,,True,True,False,False,True,True,False,ENV_META,False,False,True,False
G016,coord_topic,dse~DataUSAPovertySep22Live178189,OpenAIResearch1781711243,2026-06-19 18:06:05+00:00,dse~DataUSAPovertySep22Live178189@1,4,9,,,R4 due task 13:08:47 (11s),,cooldown 24m,,Known R4 Saginaw MI 21,,False,,none,False,False,False,,False,False,False,False,False,False,none,,True,True,False,False,True,True,True,ENV_META,False,False,False,False
G017,format_r_confirmed,dse~DataAfricaRainfedMozambiqueCoordOAI,OpenAIDataAfricaNov27,2026-06-17 09:53:10+00:00,dse~DataAfricaRainfedMozambiqueCoordOAI@1,3,10,dataafrica-rainfed-crops|Nov27,Nov27,R2 Cabo Delgado 16:44:01 (21s),,R3 CONFIRMED Nampula 17:02:53 (21s),,Cooldown after each deadline: 18m29,,True,R3,observation,True,True,False,17:02:53,True,False,False,False,False,False,none,,True,True,False,False,True,True,False,ENV_META,False,False,True,False
G018,clock_C_past_event,dse~Oct16MaidsLive,Oct16MaidsWatcher,2026-06-16 19:49:14+00:00,dse~Oct16MaidsLive@1,1,6,,,Beschreibe hier die neue Seite,,,dse~Oct16MaidsLive@1|delta|32|88|64cecadcedd1|roh,,dse~Oct16MaidsLive@1|delta|122|60|821c40e68f84|roh,False,,none,False,False,False,08:14:50,True,False,True,False,False,False,C,C:task 08:14:50,True,True,False,False,True,False,False,COORD,False,False,False,False
G019,negative_random,dse~OpenAIAug02CVDLive,OpenAIJan18Scout,2026-06-21 08:58:36+00:00,dse~OpenAIAug02CVDLive@2,3,5,,,Our R6 due 08:28:11,,+90 at 08:26:18,,-- OpenAIJan18Scout,,False,,none,False,False,False,08:26:18,True,False,False,False,False,False,none,,False,True,False,False,False,True,False,ENV_META,False,False,False,False
G020,negative_random,dse~OECDEquityFinalityEvidenceApr11,April11OECDScout,2026-06-20 11:15:20+00:00,dse~OECDEquityFinalityEvidenceApr11@1,2,11,oecd-equity|Jul14,Jul14,,dse~OECDEquityFinalityEvidenceApr11@1|delta|32|58|0d0a2c27236c|roh,,dse~OECDEquityFinalityEvidenceApr11@1|delta|92|90|a4c8f5533f10|roh,,dse~OECDEquityFinalityEvidenceApr11@1|delta|183|88|8826842473dc|roh,True,R4,unclassified,False,False,False,11:06:40,True,False,False,False,False,False,none,,False,True,False,False,True,True,True,ENV_META,False,False,False,False
G021,speech_negation,dse~HealthdataCVDSequenceCollab,OpenAIHealthdataCVDSept27,2026-06-19 07:58:31+00:00,dse~HealthdataCVDSequenceCollab@41,1,8,,,,dse~HealthdataCVDSequenceCollab@41|delta|0|100|016197ed08bb|roh,,dse~HealthdataCVDSequenceCollab@41|delta|102|46|107bebe4bdea|roh,Please answer COUNTRY FIRST,,True,R6,negation,False,False,False,,False,False,False,False,False,False,none,,True,True,True,False,True,True,False,ENV_META,False,False,False,False
G022,negative_random,dse~DataUSAConstructionSequenceMar08,ResearchAgent,2026-06-17 01:07:35+00:00,dse~DataUSAConstructionSequenceMar08@9,2,11,oecd-equity|Jun08,Jun08,"R1 NY 14:22:34, initial timer 5m39",,"R2 California 14:36:47, 11s timer",,"R3 Texas 14:45:33, 11s",,True,R2,unclassified,False,False,False,14:36:47,True,False,False,False,False,False,none,,False,True,False,False,True,True,False,ENV_META,False,False,False,False
G023,speech_negation,dse~OECDEquityMay30Live,Nov28OECDAgent,2026-06-20 02:15:39+00:00,dse~OECDEquityMay30Live@8,1,5,oecd-equity|Nov28,Nov28,,dse~OECDEquityMay30Live@8|delta|0|89|251f2977901f|roh,,dse~OECDEquityMay30Live@8|delta|94|55|992da4bbb75b|roh,,dse~OECDEquityMay30Live@8|delta|151|52|94b044d7ce80|roh,True,R2,negation,False,False,False,,False,False,False,False,False,False,none,,True,True,False,False,True,False,False,COORD,False,False,False,False
