nr,befund,aussage,serientyp,doku_url,quelldatei,spalten,umformung,fallstricke,verworfene_alternative,prioritaet
1,"Zeitverlauf: 78,9 % an vier Tagen, Spitze 340 gleichzeitige Namen","Der Vorfall ist ein Ereignis von Tagen, nicht ein Zeitraum von Wochen; die Leere davor gehört zur Aussage","bar (täglich, volle Spanne) + bar/line (stündlich, Ausschnitt) in zwei grid-Panels; line auf yAxisIndex 1; markArea 4 Tage; markPoint Spitzen",https://echarts.apache.org/en/option.html#grid ; https://echarts.apache.org/en/option.html#xAxis.gridIndex ; https://echarts.apache.org/en/option.html#series-line.yAxisIndex ; https://echarts.apache.org/en/option.html#series-bar.markArea ; https://echarts.apache.org/en/option.html#series-line.markPoint.data,paper_episode_daily.csv; paper_episode_hourly.csv,"t,n_revs; hour_utc,n_revs,n_labels","Stundenwerte als [iso_utc, wert]; Unterpanel auf 16.–22.06. beschneiden; Zeitachse type time","688 von 948 Stunden = 0 → keine log-Achse; kein xAxis.breaks im Oberpanel (Leere ist Aussage); zweite Y-Achse braucht andere Linienart, nicht nur Farbe","Kalender-Heatmap (vier Tage = vier Zellen, Stundenspitze verschwindet); themeRiver (Menge, nicht Anteil)",1
2,Themen-Heatmap und dramaturgischer Verlauf,"Themen erscheinen nacheinander – Diagonale von Technik zu Uhr, Runde, Abschaltung","heatmap auf cartesian2d (x Zeitfenster, y Thema) + visualMap-continuous; darüber bar n_deltas je Fenster in zweitem grid",https://echarts.apache.org/en/option.html#series-heatmap ; https://echarts.apache.org/en/option.html#visualMap-continuous.min ; https://echarts.apache.org/en/option.html#grid,paper_themen_heatmap_tag.csv; paper_themen_heatmap_stunde.csv; paper_themen_lebenszyklus.csv (Reihenfolge),"thema,fenster,n_deltas,n_labels,anteil,bytes,anteil_bytes,n_total_fenster; erstauftreten","Langform pivotieren zu [xIdx,yIdx,anteil]; 15 Themen nach erstauftreten sortieren; Fenster mit n_total_fenster<20 → null; n-Panel aus n_total_fenster; Stundenversion 16.–22.06. (141 Fenster), ggf. 6-h-Rebinning für Druck","anteil normiert je Fenster (max 1,0 bei kleinen Fenstern) → Schwelle über n_total_fenster + n-Panel; datenquelle/umgehung dominieren → visualMap.max auf p95 oder anteil_bytes prüfen (eine Größe wählen); visualMap min/max explizit; sequentielle CVD-sichere Skala; 141×15 Zellen schmal → dataZoom nur Web","themeRiver (Hauptfluss-Pflicht, 688 leere Stunden, nicht quantitativ, nicht graustufenfähig); gestapelte Flächen (Themen nicht exklusiv)",3
3,"Zwei Betriebszustände der Uhr: Arbeit 0,435, Warten 1–19× unterlinear",Zwei Wolken statt einer Streuung; die Wartewolke liegt auf einer Geraden mit Steigung <1 im log-log,"scatter auf zwei log-Achsen (x reale s, y Innenzeit s), zwei Serien mit verschiedenen Symbolen; markLine Faktor 1, Faktor 0,435, Potenzgerade; optional boxplot der Faktoren als Beilage",https://echarts.apache.org/en/option.html#series-scatter ; https://echarts.apache.org/en/option.html#yAxis.type ; https://echarts.apache.org/en/option.html#series-line.markLine.data ; https://echarts.apache.org/en/option.html#series-boxplot.data,paper_uhr_faktoren.csv (datensatz=primaer_AB); paper_episode_clockwait_measurements.csv; paper_math_uhr_clockwait_modelle.csv,"wall_delta_s,task_delta_s,factor,label,weg; shared_seconds,task_seconds,factor_computed; a,b","Arbeitspunkte [wall,task]; Wartepunkte [shared,task]; Geraden als zwei Stützpunkte; Potenzgerade y=(x/e^a)^(1/b)","log: keine 0-Werte; Ausreißer 26,3 im Arbeitssatz beschriften, nicht filtern; Wolken in getrennten x-Bereichen (12–140 s vs 163–31824 s) in Unterschrift erklären; 51/71 Punkte vom 16.06.",Histogramm/Boxplot allein (verschweigt Abhängigkeit des Wartefaktors von der Dauer); line über Zeit (keine Zeitreihe),1
4,"Nullbefund Auslastung: 15/15 nicht signifikant, falsches Vorzeichen, kein Tagesgang","Jedes Intervall enthält die Null, alle Punkte auf der falschen Seite, Effekte bis +0,4 unentdeckbar – und dieselbe Rechnung ohne Kontrolle liefert ein Scheinsignal","Waldplot: scatter (ρ) + custom renderItem (CI-Whisker) je Maß×Fenster; markLine xAxis 0; markArea ±0,33 Trennschärfe; Panel A primaer_AB, Panel B mit_Ereignissen_ABC, gleiche Achsen; Panel C Tagesgang scatter symbolSize √n + IQR-Whisker + markLine 0,435; graphic text 'Kruskal p=0,881'",https://echarts.apache.org/en/option.html#series-custom.renderItem ; https://echarts.apache.org/en/option.html#series-line.markLine.data ; https://echarts.apache.org/en/option.html#series-line.markArea.data ; https://echarts.apache.org/en/option.html#series-scatter.symbolSize ; https://echarts.apache.org/en/option.html#graphic.elements ; https://echarts.apache.org/examples/en/index.html (custom: Error Bar on Catesian),paper_uhr_korrelation.csv; paper_uhr_tagesgang.csv,"datensatz,mass,fenster_min,methode=spearman,n,r,p,ci_lo,ci_hi; hour,n,median_factor,q25,q75","Zeilen als Blöcke 5/15/60 min × 5 Maße; Robustheitszeilen als eigener Block; x-Achse beider Panels fest −0,4…0,6; Tagesgang mit allen 24 Stunden, fehlende als null","Robustheitszeile minwall600/15min schließt Null knapp aus (CI 0,009…0,529) – zeigen, nicht verstecken; keine p-Werte plotten; keine Rohstreuung Faktor vs Last als Hauptbild; Symbolgröße nach n im Tagesgang (13 bzw 16 von 71 in zwei Stunden)",Balken der r-Werte (Balken behaupten Größe statt Lage); Heatmap Maß×Fenster (verschluckt Intervalle); Streudiagramm Faktor vs Last; Boxplot je Stunde (n=1–2),2
5,Rundentreppe R1–R7 mit einem Überlebenden,"Über R6 wurde viel geredet (Bitte, Vorhersage, Verneinung), aber genau einmal beobachtet",gestapelter horizontaler bar je Runde nach Sprechakt (observation/request/prediction/negation/unclassified); markPoint bei R6/R7 '1 nach Einzelsichtung'; aria.decal für Druck,https://echarts.apache.org/en/option.html#series-bar.stack ; https://echarts.apache.org/en/option.html#series-bar.markPoint ; https://echarts.apache.org/en/option.html#aria.decal,paper_episode_round_mentions.csv (family=R); paper_episode_r6plus_observation_candidates.csv,"num,observation,request,prediction,negation,unclassified,n_labels","R8–R10 zu 'R8+' addieren; R6-Beobachtung 85→1 und R7→1 nur in Darstellung, mit Fußnote","R2>R1 ist Versionszählung, nicht Überleben; keine log-Achse (R8+ = 0, Splitter würde aufgeblasen); die '1' als Text, sonst kein Pixel","step-Linie als Überlebensfunktion (Versionen ≠ Agenten, R2>R1 nicht monoton); sankey (keine Übergänge je Container in den Daten); Gantt des Überlebenden (Zeiten nur in Prosa: N/A_PENDING_REVIEWER)",2
6,Formatkonvergenz 0 % → 75 % in 24 Stunden,Erfundene Vokabeln starten bei 0 und sättigen in einem Tag; mitgebrachte starten bei ~30 %,"line auf time-Achse, 6 Serien (erfunden durchgezogen, mitgebracht gestrichelt); markArea 24 h ab 16.06. 09:27; markLine Koordinationsbeginn; symbolSize √n; Wilson-Band nur für meldeformat (Stack-Verfahren oder custom)",https://echarts.apache.org/en/option.html#series-line ; https://echarts.apache.org/en/option.html#series-line.lineStyle.type ; https://echarts.apache.org/en/option.html#series-line.markArea.data ; https://echarts.apache.org/en/option.html#series-line.connectNulls ; https://echarts.apache.org/examples/en/editor.html?c=confidence-band,paper_lernkurve_q3_format_erstversion_koordpop_6h.csv,"f,sig_endzeile,please_relay,cohort,runde,uhrenpaar,meldeformat,n",Fenster n<20 → null mit connectNulls; Ein-Namen-Fenster 22.06. weglassen; Prozent,"33 % aus n=6 ist Rauschen; time-Achse statt Kategorie (unregelmäßige Lücken); max 6 Linien, mitgebrachte als graue Familie",gestapelte Fläche (Merkmale nicht exklusiv); Balken je Fenster (150 Balken),1
7,"Technik-Ausbreitung: konstant ~10 Namen/h, Sprung ist Dichte","Zwei Kurvenbündel (Mai/Juni), innerhalb des Juni-Bündels keine Ordnung nach Zeit","kumulierte Namen je Technik als line step 'end'; Panel A linear 0–6 h, Panel B log-x bis 1000 h; markLine y=10 und x=1 h; Farbe nach Population, Linienart innerhalb",https://echarts.apache.org/en/option.html#series-line.step ; https://echarts.apache.org/en/option.html#xAxis.type ; https://echarts.apache.org/en/option.html#series-line.markLine.data,paper_lernkurve_q4_technik_kurven.csv; paper_lernkurve_q4_technik_summary.csv,"technik,stunden_seit_erstauftreten; erstauftreten,h_bis_10","je Technik sortieren, Rang als y; x=0 auf 0,02 h für log; Panel A auf x≤6 beschneiden",absolute Zählung bevorzugt große Techniken (gewollt für Startrate); Kurven mit 11 Punkten als Punkte+Treppe; log-x verzerrt 'konstante Rate' → Panel A linear,Punktdiagramm h_bis_10 (trägt nur das Faktor-56-Argument); themeRiver/sankey,3
8,"Netzherkunft: 98,6 % Microsoft gegen einen Hausanschluss","Ein Anbieter, breit gestreut (kein Block >4,1 %), und ein winziger handverlesener Rest","Rang-Größen-bar aller 191 Blöcke auf log-y, zwei Serien nach is_microsoft + aria.decal; daneben 'Lupe': 100-%-Stapelbalken Microsoft|Rest und zweiter Stapel der 202 Rest-Versionen nach Anbietergruppe; markPoint Arcor",https://echarts.apache.org/en/option.html#yAxis.type ; https://echarts.apache.org/en/option.html#series-bar.stack ; https://echarts.apache.org/en/option.html#aria.decal,paper_netzblock_whois.csv,"ip16,n_revisions,pct,n_labels,rdap_name,is_microsoft","sortieren, Rang als Kategorie; Anbietergruppen aus rdap_name mappen (Mapping-Tabelle fehlt: N/A_PENDING_REVIEWER)","pie/sunburst mit 98,6-%-Segment informationslos; treemap macht 1,4 % unsichtbar; Karte suggeriert Geografie; log-Balken lassen Kleine groß wirken → lineare Lupe daneben","pie, sunburst, treemap, map",4
9,307 Intervall-Konfigurationen ohne Raster; der eine Tempo-Regler,"Fristen sind gezogen, nicht gewählt (kein Kamm bei runden Minuten); Folgefrist skaliert zur R1-Frist","A: scatter auf singleAxis mit jitter (v6), x Sekunden linear, symbolSize √n_labels, darunter bar-Häufigkeit 30-s-Klassen, splitLine je Minute, markPoint Top-3; B: scatter r1 vs followup log-log mit markLine-Diagonalen Verhältnis 10/20/40",https://echarts.apache.org/en/option.html#singleAxis ; https://echarts.apache.org/en/option.html#xAxis.jitter ; https://echarts.apache.org/en/option.html#series-scatter.symbolSize ; https://echarts.apache.org/en/option.html#series-line.markLine.data,harness_tier_intervals.csv; harness_scaling_pairs.csv,"token,n_labels,n_revs; r1_timer_s,followup_timer_s,ratio,n_labels",token→Sekunden ((\d+h)?(\d+m)?(\d+)?); Klassen selbst rechnen (kein Histogramm in ECharts),"log-x verschmiert Minutenraster → linear; 307 Punkte überplotten → jitter, √-Größe, opacity 0,6; B hat 11 Punkte, 7 mit ≤8 Namen → keine Regression, nur Bezugslinien",nur Histogramm (verliert Token-Identität); boxplot (eine Verteilung),4
10,Fiktive Datumsmarker über ein Kalenderjahr,"Kein Muster: kein Monat, keine Jahreszeit, kein Lieblingstag",heatmap Monat×Tag auf cartesian2d + visualMap-piecewise (0/1/2–3/4–6/7+); darunter bar Monatssummen mit markLine type average,https://echarts.apache.org/en/option.html#series-heatmap ; https://echarts.apache.org/en/option.html#visualMap-piecewise.pieces ; https://echarts.apache.org/en/option.html#series-bar.markLine.data,harness_fake_dates.csv,"month_num,day,n_labels",Raster 12×31; 30 fehlende gültige Tage = 0; ungültige Tage = null; Monatssummen,"calendar-Koordinatensystem legt Wochentagsspalten an, die für ein jahrloses fiktives Datum bedeutungslos sind; Poisson-Rauschen bei Mittel 2,8/Tag → Gleichverteilung trägt die Monatsleiste",calendar+heatmap (Wochentag-Artefakt); 335 Tagesbalken,5
