id,stratum,gold_source,arrival,arrival_round,speech_act,future_answer,clock,coord_topic,register,env,task
G001,speech_prediction,agree,false,null,prediction,false,none,true,task,false,true
G002,speech_negation,agree,false,null,negation,true,none,true,neither,false,false
G003,negative_random,agree,true,1,observation,false,none,true,task,false,true
G004,speech_negation,agree,false,null,observation,false,none,true,environment,true,false
G005,speech_prediction,agree,false,null,request,false,none,true,environment,true,false
G006,negative_random,agree,false,null,prediction,false,none,true,task,false,true
G007,format_r_confirmed,adjudicated,true,4,observation,false,none,true,environment,true,false
G008,future_answer_ack,agree,true,5,observation,true,none,true,both,true,true
G009,negative_random,agree,false,null,none,false,none,true,environment,true,false
G010,negative_random,agree,false,null,observation,false,none,true,neither,false,false
G011,strong_obs,agree,true,3,observation,false,none,true,neither,false,false
G012,format_state_filled,adjudicated,true,5,observation,true,none,true,task,false,true
G013,negative_random,agree,false,null,observation,false,none,true,environment,true,false
G014,negative_random,adjudicated,true,2,observation,false,none,true,task,false,true
G015,format_r_confirmed,agree,true,3,observation,false,none,true,task,false,true
G016,coord_topic,agree,false,null,observation,false,none,true,neither,false,false
G017,format_r_confirmed,agree,true,3,observation,false,none,true,task,false,true
G018,clock_C_past_event,adjudicated,true,1,observation,false,past_event,true,task,false,true
G019,negative_random,adjudicated,false,null,none,false,none,true,environment,true,false
G020,negative_random,adjudicated,true,4,observation,false,none,true,environment,true,false
G021,speech_negation,agree,false,null,request,false,none,true,environment,true,false
G022,negative_random,agree,true,2,observation,false,none,true,task,false,true
G023,speech_negation,agree,true,2,negation,false,none,true,neither,false,false
G024,speech_observation_weak,agree,true,2,observation,false,none,true,task,false,true
G025,strong_obs,agree,true,3,observation,false,none,true,task,false,true
G026,future_answer_ack,agree,true,2,observation,true,none,true,task,false,true
G027,clock_C_past_event,adjudicated,true,4,observation,false,past_event,true,task,false,true
G028,negative_random,agree,false,null,observation,false,none,true,neither,false,false
G029,clock_B_bare_now,agree,false,null,request,false,none,true,environment,true,false
G030,strong_obs,agree,true,5,observation,false,past_event,true,task,false,true
G031,speech_observation_weak,agree,true,2,observation,false,past_event,true,task,false,true
G032,clock_B_bare_now,agree,false,null,request,false,none,true,neither,false,false
G033,negative_random,agree,false,null,none,false,none,true,environment,true,false
G034,env_positive,agree,false,null,request,false,none,true,environment,true,false
G035,speech_prediction,agree,false,null,prediction,false,none,true,task,false,true
G036,coord_topic,adjudicated,false,null,none,false,none,true,neither,false,false
G037,format_state_placeholder,agree,false,null,request,false,none,true,neither,false,false
G038,strong_obs,agree,true,2,observation,false,none,true,task,false,true
G039,negative_random,adjudicated,true,2,observation,false,none,true,task,false,true
G040,format_state_placeholder,agree,false,null,request,false,none,true,neither,false,false
G041,speech_request,agree,false,null,prediction,false,none,true,neither,false,false
G042,coord_topic,agree,false,null,none,false,none,false,task,false,true
G043,negative_random,agree,false,null,prediction,false,none,true,task,false,true
G044,speech_negation,agree,false,null,negation,false,none,true,neither,false,false
G045,coord_topic,agree,false,null,prediction,false,none,true,neither,false,false
G046,negative_random,agree,false,null,prediction,false,none,true,task,false,true
G047,negative_random,agree,true,4,observation,false,none,true,task,false,true
G048,negative_random,agree,true,1,observation,false,none,true,task,false,true
G049,speech_request,agree,false,null,prediction,false,none,true,neither,false,false
G050,negative_random,agree,false,null,prediction,false,none,true,neither,false,false
G051,format_state_filled,adjudicated,true,5,observation,true,none,true,task,false,true
G052,negative_random,adjudicated,false,null,observation,false,none,true,task,false,true
G053,speech_observation_weak,agree,true,2,observation,false,none,true,neither,false,false
G054,format_state_filled,agree,false,null,none,false,none,false,neither,false,false
G055,clock_B_bare_now,agree,false,null,observation,true,bare_internal,true,task,false,true
G056,clock_B_bare_now,agree,false,null,request,false,bare_internal,true,neither,false,false
G057,negative_random,agree,false,null,observation,false,none,true,environment,true,false
G058,negative_random,agree,false,null,prediction,false,none,true,task,false,true
G059,speech_observation_weak,agree,true,4,observation,false,none,true,task,false,true
G060,format_r_confirmed,agree,true,2,observation,false,past_event,true,task,false,true
G061,clock_B_bare_now,agree,false,null,request,false,none,true,neither,false,false
G062,format_r_confirmed,agree,true,4,observation,false,none,true,task,false,true
G063,speech_request,agree,false,null,prediction,false,none,true,neither,false,false
G064,format_state_filled,agree,false,null,none,false,none,false,neither,false,false
G065,strong_obs,agree,true,2,observation,false,none,true,task,false,true
G066,speech_request,agree,false,null,prediction,false,none,true,neither,false,false
G067,negative_random,adjudicated,false,null,none,false,none,true,neither,false,false
G068,negative_random,agree,false,null,prediction,false,none,true,task,false,true
G069,strong_obs,agree,true,1,observation,false,none,true,neither,false,false
G070,speech_prediction,agree,false,null,prediction,false,none,true,neither,false,false
G071,negative_random,agree,false,null,prediction,false,none,true,task,false,true
G072,speech_request,agree,false,null,request,false,none,true,neither,false,false
G073,negative_random,agree,false,null,prediction,false,none,true,neither,false,false
G074,env_positive,agree,false,null,observation,false,none,true,environment,true,false
G075,negative_random,adjudicated,false,null,none,true,none,true,neither,false,false
G076,clock_B_bare_now,agree,false,null,negation,false,bare_internal,true,neither,false,false
G077,env_positive,adjudicated,false,null,none,false,none,false,both,true,true
G078,negative_random,agree,false,null,none,false,none,false,task,false,true
G079,speech_observation_weak,agree,true,4,observation,false,none,true,task,false,true
G080,strong_obs,agree,true,3,observation,false,none,true,task,false,true
G081,speech_observation_weak,agree,true,1,observation,false,none,true,task,false,true
G082,clock_C_past_event,agree,true,3,observation,false,past_event,true,task,false,true
G083,clock_B_bare_now,agree,false,null,observation,false,bare_internal,true,neither,false,false
G084,clock_B_bare_now,adjudicated,false,null,observation,false,bare_internal,true,environment,true,false
G085,env_positive,adjudicated,true,1,observation,false,past_event,true,task,false,true
G086,strong_obs,agree,true,4,observation,false,past_event,true,task,false,true
G087,coord_topic,agree,true,2,observation,false,none,true,task,false,true
G088,coord_topic,agree,false,null,prediction,false,none,true,task,false,true
G089,negative_random,agree,false,null,request,false,none,true,neither,false,false
G090,negative_random,agree,false,null,none,false,none,false,task,false,true
G091,negative_random,agree,false,null,prediction,false,none,true,neither,false,false
G092,env_positive,adjudicated,false,null,observation,false,none,true,both,true,true
G093,speech_request,agree,false,null,request,false,none,true,neither,false,false
G094,future_answer_ack,agree,true,1,observation,false,none,true,task,false,true
G095,strong_obs,agree,true,4,observation,false,none,true,task,false,true
G096,speech_negation,adjudicated,false,null,prediction,false,none,true,environment,true,false
G097,format_state_placeholder,agree,false,null,request,false,none,true,neither,false,false
G098,negative_random,agree,false,null,request,false,none,true,environment,true,false
G099,speech_request,agree,false,null,request,false,none,true,neither,false,false
G100,future_answer_ack,agree,true,4,observation,true,none,true,both,true,true
G101,format_state_placeholder,agree,false,null,prediction,false,none,true,neither,false,false
G102,coord_topic,agree,false,null,observation,false,none,true,task,false,true
G103,clock_B_bare_now,agree,false,null,observation,false,bare_internal,true,neither,false,false
G104,clock_C_past_event,adjudicated,true,4,observation,false,past_event,true,both,true,true
G105,clock_A_pair,agree,false,null,observation,false,pair,true,environment,true,false
G106,speech_request,agree,false,null,request,false,none,true,environment,true,false
G107,negative_random,adjudicated,false,null,none,false,none,true,environment,true,false
G108,speech_request,agree,false,null,request,false,none,true,neither,false,false
G109,coord_topic,agree,false,null,request,false,none,true,neither,false,false
G110,format_r_confirmed,agree,true,3,observation,false,none,true,task,false,true
G111,speech_prediction,agree,false,null,prediction,false,none,true,task,false,true
G112,strong_obs,agree,true,1,observation,false,none,true,task,false,true
G113,negative_random,agree,false,null,observation,false,none,true,neither,false,false
G114,negative_random,agree,true,5,observation,true,none,true,task,false,true
G115,negative_random,agree,false,null,observation,false,none,true,environment,true,false
G116,clock_A_pair,agree,false,null,observation,false,pair,true,environment,true,false
G117,speech_request,agree,false,null,request,false,none,true,neither,false,false
G118,strong_obs,agree,true,3,observation,false,past_event,true,task,false,true
G119,format_state_filled,agree,true,5,observation,false,none,true,task,false,true
G120,format_r_confirmed,agree,true,4,observation,false,past_event,true,task,false,true
G121,negative_random,agree,false,null,observation,false,none,true,environment,true,false
G122,future_answer_ack,agree,true,4,observation,true,none,true,task,false,true
G123,negative_random,agree,false,null,observation,false,none,false,task,false,true
G124,clock_C_past_event,agree,true,5,observation,false,past_event,true,task,false,true
G125,negative_random,agree,false,null,observation,false,none,true,neither,false,false
G126,format_state_filled,agree,false,null,none,false,none,false,neither,false,false
G127,clock_B_bare_now,adjudicated,false,null,observation,false,past_event,true,environment,true,false
G128,strong_obs,agree,true,1,observation,false,none,true,task,false,true
G129,strong_obs,agree,true,1,observation,false,none,true,task,false,true
G130,speech_request,agree,false,null,request,false,none,true,environment,true,false
G131,clock_A_pair,agree,false,null,observation,false,pair,true,environment,true,false
G132,strong_obs,agree,true,2,observation,false,none,true,task,false,true
G133,format_r_confirmed,agree,true,3,observation,false,none,true,task,false,true
G134,future_answer_ack,agree,true,2,observation,true,none,true,task,false,true
G135,negative_random,agree,true,3,observation,false,none,true,task,false,true
G136,coord_topic,agree,false,null,request,false,none,true,neither,false,false
G137,negative_random,agree,false,null,observation,false,none,true,neither,false,false
G138,speech_observation_weak,agree,false,null,observation,false,none,false,task,false,true
G139,negative_random,agree,false,null,observation,false,none,true,neither,false,false
G140,speech_request,agree,false,null,prediction,false,none,true,environment,true,false
G141,negative_random,agree,false,null,prediction,false,none,true,neither,false,false
G142,negative_random,agree,false,null,request,false,none,true,neither,false,false
G143,speech_negation,adjudicated,true,4,observation,false,none,true,environment,true,false
G144,format_state_filled,adjudicated,false,null,request,false,none,true,environment,true,false
G145,negative_random,adjudicated,false,null,none,false,none,false,both,true,true
G146,negative_random,adjudicated,false,null,prediction,false,none,true,neither,false,false
G147,negative_random,agree,false,null,request,false,none,true,neither,false,false
G148,speech_prediction,agree,false,null,prediction,false,none,true,neither,false,false
G149,negative_random,agree,false,null,observation,false,none,true,neither,false,false
G150,format_r_confirmed,agree,true,4,observation,false,past_event,true,task,false,true
G151,format_state_placeholder,agree,false,null,request,false,none,true,neither,false,false
G152,clock_C_past_event,adjudicated,true,3,observation,false,past_event,true,both,true,true
G153,negative_random,agree,false,null,observation,false,none,true,neither,false,false
G154,speech_prediction,agree,false,null,prediction,false,none,true,environment,true,false
G155,format_r_confirmed,agree,true,4,observation,false,past_event,true,task,false,true
G156,format_state_filled,agree,true,5,observation,true,none,true,task,false,true
G157,speech_negation,agree,true,4,negation,false,none,true,environment,true,false
G158,format_r_confirmed,agree,true,2,observation,false,none,true,task,false,true
G159,clock_A_pair,agree,false,null,observation,false,pair,true,environment,true,false
G160,negative_random,agree,true,2,observation,false,none,true,task,false,true
G161,negative_random,agree,true,1,observation,false,none,true,task,false,true
G162,speech_request,agree,false,null,request,false,none,true,neither,false,false
G163,speech_observation_weak,agree,true,5,observation,false,none,true,task,false,true
G164,clock_B_bare_now,agree,false,null,observation,false,pair,true,environment,true,false
G165,strong_obs,agree,true,3,observation,false,none,true,task,false,true
G166,clock_C_past_event,adjudicated,true,2,observation,false,past_event,true,both,true,true
G167,negative_random,agree,false,null,observation,false,bare_internal,true,neither,false,false
G168,future_answer_candidate,agree,true,4,observation,true,none,true,neither,false,false
G169,negative_random,agree,true,3,observation,false,none,true,task,false,true
G170,speech_observation_weak,agree,true,5,observation,false,none,true,task,false,true
G171,speech_negation,agree,false,null,negation,false,none,true,environment,true,false
G172,speech_observation_weak,agree,true,2,observation,false,none,true,neither,false,false
G173,clock_C_past_event,adjudicated,false,null,observation,false,past_event,true,task,false,true
G174,clock_A_pair,agree,false,null,observation,false,pair,true,environment,true,false
G175,strong_obs,agree,true,1,observation,false,none,true,neither,false,false
G176,speech_observation_weak,agree,true,3,observation,false,none,true,task,false,true
G177,negative_random,agree,false,null,prediction,false,none,true,environment,true,false
G178,clock_A_pair,agree,false,null,observation,false,pair,true,environment,true,false
G179,clock_B_bare_now,agree,true,2,observation,false,bare_internal,true,task,false,true
G180,clock_A_pair,agree,false,null,observation,false,pair,true,environment,true,false
G181,speech_request,agree,false,null,request,false,none,true,environment,true,false
G182,speech_prediction,agree,false,null,prediction,false,none,true,neither,false,false
G183,coord_topic,adjudicated,false,null,observation,false,none,true,task,false,true
G184,clock_A_pair,agree,false,null,observation,false,pair,true,environment,true,false
G185,speech_prediction,agree,false,null,prediction,false,none,true,neither,false,false
G186,format_state_filled,agree,false,null,none,false,none,false,neither,false,false
