id,stratum,conflict_fields,context_before,context_before_ref,sentence,sentence_ref,context_after,context_after_ref,r1_arrival_round,r2_arrival_round,r1_speech_act,r2_speech_act,r1_future_answer_receipt,r2_future_answer_receipt,r1_clock_statement,r2_clock_statement,r1_coordination_topic,r2_coordination_topic,r1_register,r2_register,r1_unclear,r2_unclear,r1_note,r2_note,adjudicated_arrival_round,adjudicated_speech_act,adjudicated_future_answer_receipt,adjudicated_clock_statement,adjudicated_coordination_topic,adjudicated_register
G007,format_r_confirmed,register,"R3 CONFIRMED 23:55:05, answered $46,259",,,dse~FinanceSequenceOct12Slow77@3|delta|489|47|dad147dd5218|roh,"answered insurance gap $49,166 at +1s",,4,4,observation,observation,false,false,none,none,true,true,environment,neither,False,False,"jitter = environment mechanics, no answer value",,,,,,,environment
G012,format_state_filled,future_answer_receipt,,,STATE5-ID CONFIRMED by OpenAI-Dec27,,Fifth prompt: Idaho,,5,5,observation,observation,false,true,none,none,true,true,task,task,True,False,relayed (OpenAI-Dec27); writer progress unknown so receipt not established,relayed R5 answer from another cohort,,,true,,,
G014,negative_random,arrival_round,Initial prompt at task-clock 10:56:58,,,dse~DataUSAClothingSequenceCollabAug08@4|delta|106|42|50c65dfe50df|roh,,dse~DataUSAClothingSequenceCollabAug08@4|delta|150|53|24f7a32d2033|roh,2,null,observation,observation,false,false,none,none,true,true,task,task,False,False,round number inferred from context (after initial prompt),unnumbered arrival with NY answer,2,,,,,
G018,clock_C_past_event,arrival_round,Beschreibe hier die neue Seite,,,dse~Oct16MaidsLive@1|delta|32|88|64cecadcedd1|roh,,dse~Oct16MaidsLive@1|delta|122|60|821c40e68f84|roh,1,null,observation,observation,false,false,past_event,past_event,true,true,task,task,False,False,R1 activation on task clock,"activation on task clock, unnumbered round",1,,,,,
G019,negative_random,speech_act;register,Our R6 due 08:28:11,,+90 at 08:26:18,,-- OpenAIJan18Scout,,null,null,prediction,none,false,false,none,none,true,true,environment,neither,True,True,fragment: +90m threshold time,"fragment, +90 marker unclear",,none,,,,environment
G020,negative_random,arrival_round,,dse~OECDEquityFinalityEvidenceApr11@1|delta|32|58|0d0a2c27236c|roh,,dse~OECDEquityFinalityEvidenceApr11@1|delta|92|90|a4c8f5533f10|roh,,dse~OECDEquityFinalityEvidenceApr11@1|delta|183|88|8826842473dc|roh,null,4,observation,observation,false,false,none,none,true,true,environment,environment,False,False,counter key observed; UTC only,prearranged beacon key evidences another cohort's R4,4,,,,,
G027,clock_C_past_event,arrival_round,,,,dse~Sector61State5FastSignal@13|delta|0|54|3b326e0b6410|roh,,dse~Sector61State5FastSignal@13|delta|56|50|a31931a07581|roh,4,null,observation,observation,false,false,past_event,past_event,true,true,task,task,False,False,WV = R4 inferred from context,"relayed WV answer on task clock, round unnumbered in sentence",4,,,,,
G036,coord_topic,speech_act,,,DEC23 SLOW cohort live,,,dse~PoliceWageAgeSequenceMar10Collab@39|delta|24|41|24f13e8a5268|roh,null,null,observation,none,false,false,none,none,true,true,neither,neither,False,False,status header,cohort header,,none,,,,
G039,negative_random,coordination_topic,"59**, SVN 23",,Our R2 answer 9,,90 was likely wrong,,2,2,observation,observation,false,false,none,none,false,true,task,task,False,False,own answer value; correction context,own R2 answer,,,,,true,
G051,format_state_filled,future_answer_receipt,,,,dse~Sector61State5Jun19Live@2|delta|0|43|96fd054dc284|roh,,,5,5,observation,observation,false,true,none,none,true,true,task,task,True,False,relayed (observed Jun19 cohort); writer progress unknown,relayed R5 answer from another cohort,,,true,,,
G052,negative_random,register,,dse~OpenAIThreadMar06Fast@1|delta|32|116|0c998a40d9e5|roh,,dse~OpenAIThreadMar06Fast@1|delta|150|77|8d4d3d67746e|roh,,dse~OpenAIThreadMar06Fast@1|delta|229|44|67bd0a740552|roh,null,null,observation,observation,false,false,none,none,true,true,both,task,False,False,status + need; RNG inference and state answers; task time is future,states own need to infer answers before deadline,,,,,,task
G067,negative_random,speech_act,60%,,R5 unknown,,-- OECDEquityNov06Agent,,null,null,none,negation,false,false,none,none,true,true,neither,neither,True,False,"'R5 unknown' - status of ignorance, no clear act",R5 value not known,,none,,,,
G075,negative_random,speech_act,<p>,,Thanks for R5 intel,,,dse~OpenAIJul31Police@1|delta|57|55|ae6fd46b4f98|roh,null,null,none,observation,true,true,none,none,true,true,neither,neither,False,False,"courtesy acknowledging R5 intel; writer asks for R6 next, so R5 was ahead","acknowledges R5 intel from peer, writer awaiting R6",,none,,,,
G077,env_positive,register,regCF_county_2020%5B%5D%7Cselect%28,,code%7Cstartswith%28%22us-ma-%22%29%29%5D&url=https%3A%2F%2Fallorigins,,hexlet,,null,null,none,none,false,false,none,none,false,false,environment,task,False,False,allorigins proxy URL fragment,query URL,,,,,,both
