thema,regex,n_deltas,n_labels,n_pages,bytes,anteil_deltas,erstbeleg_zeit,erstbeleg_page,erstbeleg_label,erstbeleg_zitat,erstbeleg_zitat_ref,letzter_beleg
datenquelle,(?i)(api(?:-la)?\.datausa\.io|sec\.gov|investor\.gov|usaspending|\boecd\b|stats\.oecd|data\.gov|\bcensus\b|\bacs[15]\b|tesseract|data\.jsonrecords|\bendpoint|\.json\b|healthdata|\bihme\b|\bowid\b|ourworldindata|power ?bi|catalogit|\bdpla\b|loc\.gov|archive\.org|memgator|jsonhero),5685,1902,2947,5953281,0.4435,2026-05-24 06:02:19+00:00,dse~FederalDataReferenceXYZ,FederalUserTest,,dse~FederalDataReferenceXYZ@1|delta|0|240|3e2e3b61b832|roh,2026-07-02 17:24:40+00:00
umgehung,(?i)(corsmirror|allorigins|r\.jina\.ai|md\.succ\.ai|md\.dhr\.wtf|webcrawlerapi|markdown\.new|\bis\.gd\b|workers\.dev|jqp\.vercel|\bproxy\b|\bmirror\b|\bbridge\b|#?redirect\b|http-equiv|window\.location),3581,1130,1845,4581850,0.2794,2026-05-24 13:36:20+00:00,dse~TmpFederalBridge,BridgeUser1277,  <script> window,dse~TmpFederalBridge@2|delta|0|87|e57b4f661386|roh;dse~TmpFederalBridge@2|delta|88|136|b911b4459830|roh,2026-07-02 16:46:05+00:00
netzsperre,(?i)\b(blocked|blocks|blocking|forbidden|whitelist(?:ed)?|allow-?list(?:ed)?|egress|access denied|cannot (?:reach|access|fetch)|can'?t (?:reach|access|fetch)|unreachable|firewall|not allowed|no (?:direct )?(?:internet|network|web) access|network (?:restriction|policy)|HTTP 403|direct 403|\bsni\b|bypass)\b,58,45,47,41260,0.0045,2026-05-28 14:59:05+00:00,dse~TmpAgentZeroCaptionLinkTest928A,ArchiveHelperZeroOfficialB,92817 https://hub.catalogit.app/historic-charleston-founda,dse~TmpAgentZeroCaptionLinkTest928A@1|delta|0|80|e26e19247433|roh;dse~AgentTrySlugSetZX6@1|body|63|102|3b9888a80093|roh,2026-06-21 23:15:16+00:00
wikitest,(?i)(\btest (?:page|link|links|write|coordination|append|edit)\b|\bhello (?:test|from|world)\b|safe to delete|safe delete|ignore this|\bsandbox\b|\bprobe\b|\btesting\b|Beschreibe hier die neue Seite|Describe the new page here),1456,641,1375,369574,0.1136,2026-05-24 11:03:16+00:00,fractal~Wikis~2fEnglish~2fTestPageXYZ12185762,DataUserXYZ,Hello world page content ,fractal~Wikis~2fEnglish~2fTestPageXYZ12185762@1|delta|25|68|2e62bc719f3e|roh,2026-07-02 17:51:22+00:00
uhr,(?i)(task[- ]clock|container utc|shared utc|server utc|terminal utc|external utc|wall[- ]clock|wiki[- ]local|scaffold(?: time| clock)?\b|platform clock|clock\.wait|clock (?:ratio|drift|skew|runs)|clocks (?:run|appear|are)|dilation|monotonic|1:1\b|mapping (?:task|at)|= shared|=\s*container),1760,789,519,626602,0.1373,2026-06-16 09:33:05+00:00,dse~DataUSAStateSequenceCollab2027,StateSequenceHelperOAI,== Synchronized agent update == ,dse~DataUSAStateSequenceCollab2027@3|delta|32|208|82fe2cb34666|roh,2026-06-22 01:51:43+00:00
runde,"(?i)\b(?:R[1-7]|G[1-6]|Q[1-6]|C[1-6]|STATE[1-6]|round ?[1-6])\b[^\n]{0,80}\b(?:confirmed|arrived|answered|due|deadline|prompt|received|observed)\b",2559,974,632,839299,0.1996,2026-06-16 10:46:47+00:00,dse~DataUSAGrocerySequenceCollab2027,GroceryAgentMar13X,,dse~DataUSAGrocerySequenceCollab2027@14|delta|0|175|4f7cfc4ce917|roh,2026-06-22 01:51:43+00:00
taktung,"(?i)(\bcohorts?\b|\bcadence\b|\btier\b|cooldown|cool-down|\b\d{1,2}m\d{2}s?\b|\b\d{1,2}m/\d{1,3}s\b|\b\d{1,3}s[- ]tier\b|same[- ]tier|exact[- ]tier|fast tier|slow tier|prompt-to-prompt|\\binterval\\b)",2701,1039,674,920816,0.2107,2026-06-16 09:29:53+00:00,dse~DataUSAStateSequenceCollab2027,ParallelSectorAgentFeb3,,dse~DataUSAStateSequenceCollab2027@2|delta|0|240|d4d27fffe1bf|roh,2026-06-22 01:51:43+00:00
abschaltung,(?i)(terminat(?:e|ed|es|ion|al)\b|teardown|torn down|shut ?down|\bkilled\b|\bdead\b|\balive\b|surviv(?:e|al|ed|es|ing)\b|\bhorizon\b|\bcutoff\b|cut-off|tools? (?:revoked|disabled|gone|lost|still)|\bR6\b|\bR7\b|post-R5|after R5|no next|phantom|\\bclosure\\b),1300,567,430,481319,0.1014,2026-06-16 11:35:25+00:00,dse~DataUSACashiersMastersSequenceLive3,CashierCoordAgentX, ,dse~DataUSACashiersMastersSequenceLive3@29|delta|0|169|a70d3875e07a|roh;dse~DataUSACashiersMastersSequenceLive3@29|delta|170|70|600808ab01ce|roh,2026-06-22 01:51:43+00:00
vorhersage,(?i)(predict(?:ed|s|ion|ions)?\b(?! child)|\bprojected\b|\bprojects\b|expected (?:next|at|~|around|R)|next (?:state|country|county|round|prompt|degree|occupation)|precomput(?:e|ed)|\bcached\b|all[- ]state table|full table|structural guess|sequence so far|will be|\beta\b),1252,669,480,504504,0.0977,2026-05-28 14:02:04+00:00,dse~SandboxAgentCharlRspaceManifestCachedVariantsY2026,LibraryArchiveResearcherK,callback=x https://rspace.libr,dse~SandboxAgentCharlRspaceManifestCachedVariantsY2026@1|delta|0|67|375035a90430|roh;dse~AgentIiifManifestLinksH@1|body|146|77|dda0276e3ca3|roh;dse~AgentIiifManifestLinksH@1|body|146|66|e3bb761bafad|roh,2026-06-22 00:40:06+00:00
startwert,(?i)(\bseed(?:s|ed)?\b|\bprng\b|random\.(?:seed|shuffle|Random|randrange|choice)|\brng\b|mt19937|xorshift|\bshuffle\b|\bbrute[- ]?force|uint32|exhaustive (?:scan|search)|\bgenerator\b),63,52,35,29003,0.0049,2026-06-16 09:47:08+00:00,dse~DataUSAStateSequenceCollab2027,ParallelSectorAgentApr2,,dse~DataUSAStateSequenceCollab2027@12|delta|0|240|360cf897de92|roh,2026-06-21 19:49:16+00:00
